Comment,Designator,Footprint,LCSC,Quantity
100nF,C1,C_0603_1608Metric,C14663,1
10K,"R1,R2",R_0603,C25804,2
10uF,C2,C_0603_1608Metric,C19702,1
2.2uF,C3,C_0603_1608Metric,C23630,1
33R,"R3,R4,R5,R6,R7",R_0603,C23140,5
CH32V003F4P6,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C5187096,1
SK6812MINI-E,"D6,D7",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,C5149201,2
TPD4E05U06DQAR_C22390021,D5,DFN2510-10_L2.5-W1.0-P0.50-BL,C22390021,1
